,0,label
0,CD4 T 19,21
1,B Cells 05,3
2,CD8 T 07,26
3,B Cells 05,3
4,CD8 T 14,29
5,CD8 T 08,27
6,ILCs 19,41
7,CD8 T 05,24
8,ILCs 19,41
9,CD8 T 07,26
10,CD4 T 01,11
11,CD4 T 01,11
12,CD8 T 06,25
13,CD4 T 06,12
14,CD4 T 19,21
15,ILCs 16,39
16,CD4 T 19,21
17,ILCs 19,41
18,TCRgd 03,56
19,CD4 T 06,12
20,ILCs 18,40
21,Myeloid 20,47
22,CD8 T 01,22
23,CD8 T 01,22
24,B Cells 05,3
25,CD4 T 01,11
26,CD4 T 14,16
27,B Cells 05,3
28,CD4 T 17,19
29,Discard,31
30,CD4 T 15,17
31,CD8 T 01,22
32,CD8 T 01,22
33,B Cells 05,3
34,Myeloid 17,45
35,CD4 T 15,17
36,Myeloid 03,43
37,CD8 T 14,29
38,CD4 T 06,12
39,Myeloid 03,43
40,ILCs 18,40
41,CD4 T 18,20
42,CD8 T 14,29
43,ILCs 19,41
44,CD4 T 12,15
45,CD4 T 06,12
46,CD4 T 06,12
47,CD4 T 19,21
48,CD4 T 01,11
49,CD8 T 14,29
50,CD4 T 06,12
51,CD8 T 07,26
52,CD4 T 19,21
53,CD8 T 01,22
54,CD4 T 19,21
55,CD4 T 01,11
56,Others 11,53
57,CD8 T 01,22
58,CD4 T 11,14
59,CD8 T 14,29
60,CD4 T 01,11
61,ILCs 11,38
62,B Cells 05,3
63,B Cells 19,8
64,CD4 T 01,11
65,ILCs 18,40
66,CD8 T 01,22
67,CD4 T 06,12
68,B Cells 05,3
69,CD4 T 19,21
70,CD4 T 06,12
71,CD4 T 01,11
72,CD4 T 01,11
73,CD4 T 01,11
74,CD4 T 19,21
75,ILCs 18,40
76,Myeloid 03,43
77,CD4 T 17,19
78,ILCs 18,40
79,CD4 T 15,17
80,B Cells 05,3
81,CD4 T 18,20
82,CD4 T 01,11
83,CD8 T 07,26
84,B Cells 05,3
85,CD4 T 19,21
86,CD4 T 01,11
87,CD4 T 01,11
88,B Cells 05,3
89,TCRgd 01,54
90,CD4 T 17,19
91,CD4 T 14,16
92,Myeloid 17,45
93,Myeloid 17,45
94,CD4 T 19,21
95,CD4 T 01,11
96,CD4 T 14,16
97,CD4 T 19,21
98,B Cells 19,8
99,CD4 T 01,11
100,B Cells 05,3
101,ILCs 01,32
102,CD4 T 01,11
103,CD4 T 19,21
104,ILCs 19,41
105,CD8 T 07,26
106,CD4 T 18,20
107,CD4 T 06,12
108,CD4 T 01,11
109,CD4 T 14,16
110,CD4 T 01,11
111,Myeloid 17,45
112,ILCs 02,33
113,ILCs 11,38
114,CD8 T 14,29
115,TCRgd 04,57
116,CD4 T 15,17
117,CD4 T 01,11
118,ILCs 11,38
119,CD4 T 19,21
120,CD4 T 06,12
121,CD8 T 01,22
122,CD4 T 14,16
123,CD4 T 18,20
124,CD4 T 01,11
125,CD4 T 01,11
126,CD4 T 06,12
127,Myeloid 03,43
128,CD4 T 19,21
129,CD4 T 19,21
130,CD8 T 14,29
131,CD8 T 14,29
132,ILCs 09,36
133,ILCs 19,41
134,B Cells 05,3
135,CD4 T 01,11
136,ILCs 18,40
137,ILCs 11,38
138,CD4 T 01,11
139,CD4 T 15,17
140,ILCs 18,40
141,CD4 T 15,17
142,CD8 T 14,29
143,B Cells 05,3
144,Others 01,49
145,CD4 T 01,11
146,CD4 T 01,11
147,CD4 T 01,11
148,CD4 T 19,21
149,CD4 T 19,21
150,CD4 T 14,16
151,B Cells 05,3
152,CD4 T 06,12
153,CD8 T 06,25
154,CD4 T 19,21
155,CD4 T 19,21
156,ILCs 11,38
157,ILCs 09,36
158,CD4 T 19,21
159,CD4 T 14,16
160,CD4 T 06,12
161,CD8 T 17,30
162,CD8 T 01,22
163,ILCs 11,38
164,CD8 T 05,24
165,CD4 T 01,11
166,CD4 T 01,11
167,CD8 T 01,22
168,CD4 T 19,21
169,CD4 T 06,12
170,ILCs 18,40
171,CD8 T 14,29
172,CD4 T 06,12
173,CD8 T 01,22
174,CD4 T 01,11
175,CD4 T 19,21
176,B Cells 05,3
177,CD4 T 19,21
178,CD4 T 01,11
179,CD4 T 19,21
180,ILCs 02,33
181,CD4 T 06,12
182,CD4 T 14,16
183,B Cells 05,3
184,CD4 T 19,21
185,B Cells 05,3
186,Myeloid 03,43
187,CD4 T 01,11
188,CD8 T 07,26
189,CD4 T 01,11
190,CD4 T 19,21
191,ILCs 04,35
192,B Cells 05,3
193,ILCs 19,41
194,B Cells 05,3
195,CD8 T 01,22
196,CD8 T 14,29
197,CD8 T 01,22
198,Others 02,50
199,CD4 T 19,21
200,CD4 T 19,21
201,CD4 T 01,11
202,CD8 T 17,30
203,CD4 T 01,11
204,CD4 T 17,19
205,B Cells 05,3
206,CD4 T 19,21
207,ILCs 11,38
208,ILCs 04,35
209,Myeloid 03,43
210,CD4 T 19,21
211,CD4 T 19,21
212,CD8 T 01,22
213,CD4 T 16,18
214,TCRgd 02,55
215,TCRgd 02,55
216,CD8 T 17,30
217,CD4 T 01,11
218,CD4 T 01,11
219,CD8 T 05,24
220,Myeloid 10,44
