,0,label
0,CD8 T 17,30
1,CD4 T 06,12
2,CD4 T 17,19
3,CD4 T 18,20
4,CD8 T 01,22
5,CD4 T 12,15
6,TCRgd 03,56
7,CD8 T 01,22
8,CD8 T 14,29
9,TCRgd 02,55
10,CD4 T 01,11
11,CD4 T 06,12
12,CD4 T 01,11
13,CD4 T 06,12
14,CD4 T 01,11
15,CD4 T 06,12
16,CD4 T 01,11
17,TCRgd 02,55
18,CD4 T 11,14
19,CD4 T 01,11
20,CD8 T 01,22
21,CD8 T 06,25
22,CD4 T 18,20
23,CD8 T 05,24
24,CD8 T 01,22
25,CD8 T 06,25
26,CD4 T 01,11
27,CD8 T 07,26
28,CD8 T 01,22
29,CD8 T 05,24
30,CD4 T 01,11
31,CD8 T 01,22
32,CD8 T 07,26
33,CD4 T 01,11
34,B Cells 05,3
35,Myeloid 03,43
36,TCRgd 02,55
37,CD4 T 01,11
38,CD4 T 06,12
39,CD8 T 08,27
40,CD8 T 17,30
41,ILCs 04,35
42,CD4 T 01,11
43,CD4 T 01,11
44,CD4 T 01,11
45,CD8 T 01,22
46,B Cells 12,5
47,TCRgd 02,55
48,CD4 T 01,11
49,CD8 T 05,24
50,ILCs 09,36
51,CD8 T 05,24
52,CD4 T 14,16
53,CD4 T 01,11
54,CD8 T 08,27
55,CD4 T 18,20
56,CD4 T 17,19
57,TCRgd 02,55
58,TCRgd 02,55
59,Myeloid 03,43
60,Myeloid 17,45
61,CD8 T 01,22
62,CD4 T 01,11
63,TCRgd 02,55
64,ILCs 11,38
65,CD4 T 01,11
66,ILCs 19,41
67,Myeloid 03,43
68,CD8 T 01,22
69,TCRgd 02,55
70,CD4 T 15,17
71,B Cells 05,3
72,Myeloid 17,45
73,CD4 T 15,17
74,CD4 T 06,12
75,B Cells 19,8
76,CD4 T 01,11
77,B Cells 05,3
78,CD4 T 17,19
79,Myeloid 17,45
80,CD8 T 07,26
81,CD4 T 01,11
82,CD8 T 05,24
83,CD4 T 01,11
84,CD4 T 12,15
85,Myeloid 03,43
86,B Cells 05,3
87,CD4 T 06,12
88,CD8 T 05,24
89,CD4 T 06,12
90,B Cells 14,6
91,CD4 T 01,11
92,CD4 T 06,12
93,CD4 T 01,11
94,CD4 T 01,11
95,TCRgd 02,55
96,CD4 T 12,15
97,TCRgd 02,55
98,TCRgd 02,55
99,CD8 T 08,27
100,CD4 T 18,20
101,CD4 T 06,12
102,ILCs 19,41
103,Myeloid 03,43
104,CD8 T 06,25
105,CD4 T 01,11
106,CD4 T 01,11
107,CD4 T 15,17
108,CD4 T 01,11
109,Myeloid 03,43
110,CD8 T 07,26
111,Myeloid 17,45
112,B Cells 02,1
113,Myeloid 03,43
114,CD4 T 06,12
115,CD8 T 06,25
116,CD4 T 01,11
117,CD4 T 14,16
118,Discard,31
119,CD4 T 01,11
120,B Cells 05,3
121,Others 11,53
122,TCRgd 02,55
123,CD8 T 06,25
124,Myeloid 17,45
125,CD8 T 07,26
126,CD8 T 08,27
127,CD4 T 16,18
128,CD8 T 05,24
129,CD8 T 01,22
130,B Cells 05,3
131,CD4 T 01,11
132,TCRgd 02,55
133,CD4 T 01,11
134,TCRgd 03,56
135,TCRgd 02,55
136,CD4 T 06,12
137,CD4 T 15,17
138,TCRgd 02,55
139,TCRgd 01,54
140,Myeloid 03,43
141,CD4 T 06,12
142,CD4 T 18,20
143,CD4 T 01,11
144,CD4 T 01,11
145,CD4 T 14,16
146,TCRgd 02,55
147,Myeloid 17,45
148,CD4 T 18,20
149,CD8 T 06,25
150,CD4 T 01,11
151,CD4 T 14,16
152,CD4 T 11,14
153,ILCs 04,35
154,CD4 T 12,15
155,TCRgd 02,55
156,CD8 T 08,27
157,CD4 T 15,17
158,CD8 T 01,22
159,TCRgd 02,55
160,CD4 T 06,12
161,ILCs 09,36
162,CD4 T 12,15
163,CD4 T 12,15
164,CD8 T 05,24
165,CD4 T 12,15
166,CD4 T 01,11
167,CD4 T 14,16
168,B Cells 19,8
169,CD4 T 17,19
170,CD8 T 01,22
171,CD8 T 01,22
172,CD4 T 16,18
173,CD4 T 01,11
174,TCRgd 03,56
175,TCRgd 02,55
176,CD4 T 01,11
177,CD4 T 17,19
178,CD4 T 15,17
179,CD4 T 01,11
180,TCRgd 02,55
181,CD4 T 06,12
182,Others 01,49
183,CD8 T 08,27
184,CD4 T 12,15
185,TCRgd 02,55
186,B Cells 05,3
187,CD8 T 01,22
188,CD4 T 01,11
189,CD4 T 01,11
190,CD4 T 14,16
191,CD4 T 01,11
192,CD4 T 01,11
193,CD8 T 17,30
194,CD4 T 01,11
195,TCRgd 03,56
196,CD8 T 01,22
197,CD8 T 05,24
198,CD4 T 06,12
199,CD8 T 01,22
200,CD4 T 01,11
201,CD4 T 01,11
202,TCRgd 02,55
203,Myeloid 03,43
204,TCRgd 02,55
205,CD4 T 01,11
206,CD4 T 01,11
207,CD4 T 01,11
208,CD4 T 01,11
209,CD4 T 01,11
210,CD4 T 01,11
211,CD4 T 01,11
212,CD4 T 01,11
213,Myeloid 03,43
214,CD4 T 01,11
215,CD4 T 17,19
216,CD4 T 01,11
217,TCRgd 02,55
218,CD8 T 05,24
219,CD4 T 01,11
220,CD4 T 01,11
221,CD8 T 05,24
222,CD4 T 01,11
223,TCRgd 02,55
224,TCRgd 02,55
225,CD4 T 18,20
226,CD4 T 01,11
227,TCRgd 02,55
228,ILCs 04,35
229,CD4 T 01,11
230,CD8 T 01,22
231,CD8 T 08,27
232,CD4 T 01,11
233,CD4 T 15,17
234,CD4 T 01,11
235,CD4 T 01,11
236,CD4 T 01,11
237,CD8 T 01,22
238,TCRgd 02,55
239,TCRgd 02,55
240,TCRgd 04,57
241,CD4 T 01,11
242,CD4 T 01,11
243,CD4 T 12,15
244,ILCs 09,36
245,CD4 T 01,11
246,CD4 T 16,18
247,CD4 T 15,17
248,Myeloid 17,45
249,CD4 T 14,16
250,CD8 T 17,30
251,CD4 T 06,12
252,CD4 T 01,11
253,TCRgd 02,55
254,CD8 T 05,24
255,TCRgd 03,56
256,CD8 T 01,22
257,TCRgd 02,55
258,CD4 T 15,17
259,CD4 T 01,11
260,B Cells 05,3
261,TCRgd 02,55
262,CD8 T 01,22
263,TCRgd 02,55
264,CD8 T 01,22
265,CD8 T 01,22
266,Myeloid 17,45
267,CD8 T 01,22
268,CD4 T 06,12
269,CD4 T 01,11
270,CD8 T 06,25
271,CD4 T 01,11
272,CD8 T 01,22
273,ILCs 04,35
274,CD8 T 06,25
275,CD8 T 06,25
276,CD8 T 06,25
277,CD4 T 06,12
278,CD8 T 01,22
279,TCRgd 02,55
280,CD4 T 06,12
281,CD8 T 07,26
282,CD4 T 01,11
283,CD4 T 01,11
284,CD8 T 01,22
285,CD4 T 01,11
286,CD8 T 08,27
287,CD4 T 12,15
288,CD4 T 16,18
289,CD4 T 01,11
290,CD4 T 15,17
291,CD4 T 12,15
292,B Cells 01,0
293,TCRgd 03,56
294,CD4 T 01,11
295,TCRgd 02,55
296,CD8 T 01,22
297,CD8 T 01,22
298,TCRgd 04,57
299,TCRgd 02,55
300,CD4 T 14,16
301,CD4 T 17,19
302,TCRgd 02,55
303,B Cells 05,3
304,CD4 T 01,11
305,CD4 T 06,12
306,CD4 T 01,11
307,CD8 T 08,27
308,CD4 T 06,12
309,CD8 T 17,30
310,B Cells 05,3
311,Myeloid 03,43
312,CD4 T 06,12
313,CD4 T 06,12
314,CD8 T 08,27
315,CD4 T 14,16
316,CD4 T 01,11
317,CD4 T 01,11
318,TCRgd 02,55
319,ILCs 11,38
320,CD4 T 17,19
321,TCRgd 02,55
322,CD4 T 01,11
323,CD4 T 14,16
324,CD4 T 01,11
325,CD4 T 01,11
326,TCRgd 02,55
327,CD4 T 15,17
328,CD4 T 14,16
329,CD8 T 04,23
330,TCRgd 04,57
331,CD8 T 08,27
332,TCRgd 02,55
333,CD4 T 01,11
334,Myeloid 03,43
335,CD8 T 17,30
336,TCRgd 02,55
337,CD4 T 01,11
338,ILCs 09,36
339,TCRgd 03,56
340,CD8 T 07,26
341,CD8 T 01,22
342,TCRgd 02,55
343,TCRgd 03,56
344,CD8 T 06,25
345,TCRgd 02,55
346,CD4 T 06,12
347,CD4 T 01,11
348,CD8 T 08,27
349,CD4 T 06,12
350,TCRgd 01,54
351,CD4 T 01,11
352,Myeloid 03,43
353,CD4 T 15,17
354,CD4 T 06,12
355,CD4 T 01,11
356,CD4 T 17,19
357,TCRgd 02,55
358,CD4 T 01,11
359,CD8 T 01,22
360,CD4 T 01,11
361,CD4 T 01,11
362,CD4 T 01,11
363,CD8 T 06,25
364,CD4 T 06,12
365,Others 11,53
366,CD8 T 08,27
367,TCRgd 03,56
368,CD8 T 06,25
369,ILCs 18,40
370,CD4 T 01,11
371,Myeloid 03,43
372,CD4 T 01,11
373,CD8 T 01,22
374,Myeloid 03,43
375,CD4 T 01,11
376,CD4 T 12,15
377,CD8 T 01,22
378,CD8 T 04,23
379,TCRgd 03,56
380,TCRgd 04,57
381,CD8 T 01,22
382,B Cells 05,3
383,CD4 T 16,18
384,TCRgd 02,55
385,B Cells 12,5
386,CD4 T 12,15
387,CD4 T 06,12
388,Myeloid 03,43
389,CD4 T 01,11
390,CD4 T 01,11
391,CD4 T 15,17
392,CD4 T 01,11
393,CD8 T 01,22
394,CD8 T 01,22
395,TCRgd 03,56
396,B Cells 01,0
397,CD4 T 17,19
398,Myeloid 03,43
399,CD4 T 01,11
400,CD4 T 06,12
401,CD4 T 12,15
402,CD8 T 08,27
403,CD8 T 07,26
404,CD4 T 06,12
405,CD8 T 05,24
406,CD4 T 01,11
407,CD4 T 17,19
408,CD4 T 01,11
409,CD4 T 01,11
410,CD4 T 15,17
411,CD4 T 01,11
412,ILCs 16,39
413,CD4 T 01,11
414,CD4 T 01,11
415,Myeloid 17,45
416,CD8 T 05,24
417,CD4 T 01,11
418,Myeloid 03,43
419,CD4 T 06,12
420,Others 11,53
421,Myeloid 03,43
422,TCRgd 04,57
423,CD8 T 01,22
424,TCRgd 03,56
425,CD4 T 14,16
426,CD4 T 06,12
427,CD4 T 12,15
428,CD4 T 01,11
429,CD8 T 05,24
430,TCRgd 03,56
431,CD4 T 01,11
432,TCRgd 02,55
433,CD4 T 01,11
434,TCRgd 02,55
435,Myeloid 03,43
436,CD8 T 05,24
437,TCRgd 02,55
438,CD4 T 15,17
439,CD4 T 14,16
440,CD4 T 01,11
441,CD8 T 01,22
