,0,label
0,CD4 T 01,11
1,ILCs 18,40
2,CD4 T 19,21
3,CD4 T 14,16
4,B Cells 12,5
5,CD8 T 01,22
6,CD8 T 01,22
7,CD4 T 06,12
8,CD4 T 19,21
9,CD4 T 01,11
10,CD8 T 14,29
11,CD8 T 07,26
12,B Cells 01,0
13,CD4 T 01,11
14,B Cells 12,5
15,CD4 T 19,21
16,TCRgd 02,55
17,Others 11,53
18,CD4 T 19,21
19,CD4 T 06,12
20,CD4 T 19,21
21,CD4 T 06,12
22,CD4 T 01,11
23,B Cells 05,3
24,CD4 T 01,11
25,CD4 T 01,11
26,CD8 T 17,30
27,CD8 T 01,22
28,TCRgd 02,55
29,B Cells 05,3
30,CD4 T 18,20
31,CD4 T 01,11
32,CD4 T 01,11
33,CD8 T 05,24
34,CD4 T 19,21
35,Myeloid 03,43
36,CD8 T 14,29
37,ILCs 19,41
38,ILCs 11,38
39,CD4 T 19,21
40,CD4 T 18,20
41,CD4 T 01,11
42,ILCs 16,39
43,B Cells 21,9
44,ILCs 19,41
45,CD4 T 18,20
46,CD4 T 01,11
47,CD4 T 01,11
48,CD4 T 01,11
49,CD4 T 01,11
50,CD4 T 01,11
51,CD4 T 19,21
52,CD8 T 06,25
53,CD4 T 01,11
54,CD8 T 14,29
55,CD4 T 01,11
56,CD4 T 19,21
57,CD4 T 06,12
58,CD4 T 19,21
59,CD4 T 01,11
60,CD4 T 06,12
61,CD4 T 19,21
62,ILCs 18,40
63,B Cells 19,8
64,CD4 T 06,12
65,CD4 T 19,21
66,CD4 T 18,20
67,B Cells 19,8
68,CD4 T 18,20
69,CD4 T 12,15
70,CD8 T 10,28
71,CD4 T 01,11
72,CD8 T 07,26
73,CD4 T 19,21
74,CD4 T 08,13
75,CD4 T 19,21
76,ILCs 16,39
77,B Cells 19,8
78,CD4 T 19,21
79,CD8 T 01,22
80,CD4 T 18,20
81,CD4 T 12,15
82,CD8 T 01,22
83,CD8 T 01,22
84,Myeloid 17,45
85,CD8 T 01,22
86,CD4 T 01,11
87,CD4 T 19,21
88,ILCs 19,41
89,CD8 T 05,24
90,Myeloid 03,43
91,CD8 T 07,26
92,B Cells 21,9
93,CD8 T 01,22
94,B Cells 05,3
95,CD8 T 01,22
96,CD4 T 19,21
97,B Cells 05,3
98,CD8 T 01,22
99,CD4 T 14,16
100,CD4 T 06,12
101,CD8 T 01,22
102,B Cells 05,3
103,B Cells 19,8
104,B Cells 05,3
105,CD4 T 01,11
106,Myeloid 03,43
107,CD8 T 14,29
