,0,label
0,CD4 T 16,18
1,CD4 T 16,18
2,CD8 T 06,25
3,CD4 T 15,17
4,TCRgd 02,55
5,Myeloid 03,43
6,CD4 T 01,11
7,CD4 T 14,16
8,CD4 T 12,15
9,CD4 T 01,11
10,CD8 T 01,22
11,CD8 T 04,23
12,CD4 T 06,12
13,CD4 T 01,11
14,CD4 T 06,12
15,B Cells 05,3
16,CD4 T 14,16
17,CD8 T 05,24
18,Others 11,53
19,CD4 T 12,15
20,CD4 T 12,15
21,CD4 T 06,12
22,CD4 T 14,16
23,Others 11,53
24,CD4 T 14,16
25,CD4 T 01,11
26,CD4 T 01,11
27,CD4 T 15,17
28,CD4 T 18,20
29,CD4 T 08,13
30,CD4 T 12,15
31,TCRgd 02,55
32,B Cells 02,1
33,CD4 T 12,15
34,B Cells 05,3
35,CD4 T 06,12
36,CD4 T 11,14
37,CD4 T 12,15
38,CD4 T 01,11
39,CD4 T 12,15
40,ILCs 16,39
41,CD4 T 15,17
42,CD4 T 14,16
43,CD4 T 06,12
44,CD8 T 06,25
45,CD4 T 08,13
46,CD4 T 01,11
47,CD4 T 17,19
48,CD4 T 01,11
49,CD4 T 06,12
50,CD4 T 01,11
51,CD4 T 14,16
52,CD4 T 18,20
53,CD4 T 01,11
54,CD4 T 01,11
55,ILCs 18,40
56,CD4 T 14,16
57,CD4 T 12,15
58,CD4 T 06,12
59,CD4 T 06,12
60,Others 11,53
61,TCRgd 02,55
62,CD4 T 17,19
63,CD4 T 14,16
64,CD4 T 06,12
65,TCRgd 02,55
66,ILCs 16,39
67,CD8 T 05,24
68,ILCs 09,36
69,CD4 T 15,17
70,TCRgd 02,55
71,CD4 T 01,11
72,CD4 T 01,11
73,TCRgd 03,56
74,CD4 T 06,12
75,B Cells 05,3
76,CD8 T 05,24
77,CD4 T 15,17
78,CD4 T 16,18
79,CD8 T 05,24
80,ILCs 16,39
81,CD4 T 17,19
82,TCRgd 02,55
83,TCRgd 03,56
84,ILCs 09,36
85,CD4 T 12,15
86,CD4 T 01,11
87,ILCs 16,39
88,TCRgd 02,55
89,CD4 T 12,15
90,CD4 T 06,12
91,Myeloid 10,44
92,CD4 T 14,16
93,CD8 T 05,24
94,CD4 T 01,11
95,CD4 T 01,11
96,CD4 T 14,16
97,TCRgd 02,55
98,CD4 T 06,12
99,CD4 T 12,15
100,CD4 T 06,12
101,ILCs 02,33
102,ILCs 16,39
103,TCRgd 02,55
104,CD8 T 01,22
105,CD4 T 01,11
106,CD8 T 07,26
107,ILCs 09,36
108,CD8 T 01,22
109,ILCs 18,40
110,CD4 T 06,12
111,CD8 T 07,26
112,CD4 T 12,15
113,CD4 T 06,12
114,CD4 T 12,15
115,CD4 T 14,16
116,CD4 T 06,12
117,Others 11,53
118,CD4 T 01,11
119,CD4 T 14,16
120,ILCs 09,36
121,CD8 T 05,24
122,CD8 T 04,23
123,CD4 T 14,16
124,CD4 T 01,11
125,ILCs 11,38
126,CD4 T 01,11
127,CD4 T 08,13
128,CD4 T 15,17
129,CD8 T 05,24
130,CD8 T 04,23
131,CD4 T 14,16
132,ILCs 16,39
133,CD4 T 14,16
134,CD4 T 01,11
135,CD4 T 06,12
136,CD4 T 01,11
137,CD8 T 05,24
138,Others 11,53
139,CD4 T 17,19
140,B Cells 05,3
141,CD4 T 15,17
142,Myeloid 03,43
143,CD4 T 18,20
144,Discard,31
145,CD8 T 04,23
146,CD8 T 01,22
147,CD4 T 01,11
148,CD4 T 06,12
149,B Cells 05,3
150,CD8 T 05,24
151,Others 11,53
152,CD4 T 06,12
153,CD4 T 16,18
154,CD8 T 01,22
155,CD8 T 04,23
156,ILCs 16,39
157,CD4 T 01,11
158,CD4 T 12,15
159,CD4 T 14,16
160,CD4 T 06,12
161,CD8 T 01,22
162,CD4 T 18,20
163,CD4 T 11,14
164,CD4 T 14,16
165,CD4 T 14,16
166,CD4 T 06,12
167,TCRgd 02,55
168,CD4 T 14,16
169,CD8 T 01,22
170,CD4 T 18,20
171,CD4 T 06,12
172,CD4 T 14,16
173,TCRgd 02,55
174,CD4 T 06,12
175,CD8 T 05,24
176,CD4 T 01,11
177,CD8 T 01,22
178,CD4 T 12,15
179,CD4 T 06,12
180,TCRgd 02,55
181,Others 11,53
182,CD4 T 06,12
183,CD4 T 01,11
184,CD4 T 01,11
185,CD4 T 06,12
186,CD4 T 14,16
187,CD4 T 01,11
188,CD4 T 01,11
189,CD4 T 01,11
190,CD4 T 14,16
191,CD8 T 05,24
192,CD4 T 15,17
193,CD8 T 04,23
194,CD4 T 06,12
195,CD4 T 01,11
196,ILCs 16,39
197,CD4 T 14,16
198,CD4 T 06,12
199,ILCs 09,36
200,CD4 T 14,16
201,CD4 T 17,19
202,CD4 T 15,17
203,Others 11,53
204,CD4 T 01,11
205,B Cells 14,6
206,CD8 T 06,25
207,CD4 T 01,11
208,CD4 T 15,17
209,CD8 T 08,27
210,B Cells 02,1
211,CD4 T 12,15
212,Myeloid 17,45
213,CD4 T 01,11
214,CD4 T 01,11
215,CD4 T 12,15
216,ILCs 09,36
217,CD4 T 14,16
218,CD4 T 14,16
219,ILCs 16,39
220,CD4 T 14,16
221,CD4 T 14,16
222,CD4 T 14,16
223,CD4 T 14,16
224,B Cells 02,1
225,ILCs 09,36
226,CD4 T 16,18
227,ILCs 11,38
228,CD4 T 06,12
229,CD4 T 06,12
230,CD8 T 08,27
231,CD4 T 01,11
232,CD4 T 14,16
233,CD4 T 06,12
234,CD4 T 06,12
235,Myeloid 03,43
236,TCRgd 03,56
237,TCRgd 02,55
238,CD4 T 01,11
239,Others 11,53
240,CD4 T 18,20
241,CD4 T 06,12
242,CD4 T 06,12
243,CD4 T 06,12
244,CD8 T 05,24
245,CD8 T 08,27
246,CD4 T 06,12
247,CD4 T 06,12
248,CD4 T 16,18
249,CD4 T 01,11
250,ILCs 02,33
251,CD4 T 17,19
252,TCRgd 02,55
253,CD4 T 01,11
254,CD4 T 06,12
255,CD4 T 12,15
256,CD4 T 06,12
257,CD4 T 18,20
258,CD4 T 01,11
259,CD4 T 16,18
260,CD8 T 05,24
261,CD8 T 01,22
262,CD4 T 17,19
263,Others 11,53
264,CD4 T 16,18
265,CD8 T 05,24
266,ILCs 01,32
267,TCRgd 03,56
268,CD8 T 07,26
269,CD4 T 18,20
270,CD4 T 12,15
271,CD4 T 16,18
272,CD4 T 06,12
273,ILCs 09,36
274,CD4 T 14,16
275,CD4 T 14,16
276,CD4 T 18,20
277,CD4 T 14,16
278,ILCs 16,39
279,CD4 T 12,15
280,CD4 T 06,12
281,CD8 T 05,24
282,CD4 T 14,16
283,CD4 T 06,12
284,CD4 T 14,16
285,CD4 T 12,15
286,CD4 T 17,19
287,TCRgd 02,55
288,CD4 T 17,19
289,CD4 T 14,16
290,CD4 T 06,12
291,CD4 T 12,15
292,CD4 T 16,18
293,ILCs 03,34
294,CD4 T 01,11
295,CD4 T 06,12
296,CD4 T 01,11
297,CD4 T 18,20
298,B Cells 19,8
299,CD4 T 16,18
300,CD8 T 04,23
301,CD8 T 08,27
302,TCRgd 02,55
303,TCRgd 01,54
304,CD4 T 01,11
305,Discard,31
306,CD4 T 06,12
307,CD4 T 01,11
308,CD4 T 06,12
309,CD4 T 06,12
310,CD8 T 01,22
311,CD4 T 06,12
312,CD4 T 12,15
313,CD4 T 06,12
314,CD8 T 10,28
315,CD8 T 05,24
316,CD4 T 18,20
317,CD4 T 06,12
318,Myeloid 03,43
319,CD4 T 01,11
320,TCRgd 02,55
321,ILCs 09,36
322,CD4 T 12,15
323,CD4 T 18,20
324,CD4 T 06,12
325,ILCs 09,36
326,CD4 T 14,16
327,CD4 T 14,16
328,Others 11,53
329,CD4 T 18,20
330,CD4 T 12,15
331,CD4 T 01,11
332,CD4 T 12,15
333,CD4 T 12,15
334,CD4 T 06,12
335,CD4 T 12,15
336,Myeloid 03,43
337,B Cells 05,3
338,CD4 T 06,12
339,CD4 T 06,12
340,CD4 T 14,16
341,CD4 T 16,18
342,ILCs 19,41
343,CD4 T 17,19
344,CD4 T 01,11
345,CD4 T 12,15
346,ILCs 09,36
347,Myeloid 03,43
348,CD4 T 12,15
349,CD8 T 01,22
350,CD4 T 06,12
351,ILCs 09,36
352,CD4 T 18,20
353,Myeloid 03,43
354,CD4 T 01,11
355,CD4 T 01,11
356,CD8 T 05,24
357,B Cells 05,3
358,CD4 T 18,20
359,CD4 T 01,11
360,CD8 T 05,24
361,CD8 T 06,25
362,TCRgd 03,56
363,TCRgd 02,55
364,CD4 T 06,12
365,B Cells 21,9
366,CD8 T 17,30
367,CD8 T 05,24
368,CD4 T 14,16
369,CD4 T 11,14
370,TCRgd 02,55
371,CD4 T 16,18
372,CD4 T 12,15
373,CD4 T 01,11
374,CD4 T 11,14
375,CD4 T 01,11
376,TCRgd 02,55
377,CD4 T 01,11
378,CD4 T 08,13
379,CD4 T 06,12
380,CD4 T 17,19
381,CD8 T 01,22
382,CD4 T 12,15
383,B Cells 05,3
384,CD4 T 06,12
385,CD4 T 01,11
386,ILCs 04,35
387,CD4 T 01,11
388,CD8 T 05,24
389,CD4 T 17,19
390,CD4 T 17,19
391,ILCs 16,39
392,CD4 T 01,11
393,ILCs 16,39
394,CD4 T 01,11
395,CD4 T 01,11
396,ILCs 10,37
397,B Cells 19,8
398,CD8 T 05,24
399,CD4 T 14,16
400,B Cells 05,3
401,TCRgd 02,55
402,CD4 T 14,16
403,CD4 T 06,12
404,TCRgd 02,55
405,ILCs 16,39
406,CD4 T 01,11
407,CD4 T 14,16
408,CD4 T 18,20
409,CD4 T 06,12
410,CD4 T 06,12
411,CD8 T 05,24
412,CD4 T 12,15
413,CD4 T 08,13
414,CD8 T 07,26
415,CD8 T 01,22
416,Myeloid 03,43
417,Myeloid 03,43
418,TCRgd 02,55
419,B Cells 19,8
420,CD4 T 01,11
421,CD4 T 14,16
422,CD4 T 01,11
423,CD4 T 18,20
424,TCRgd 02,55
425,CD4 T 12,15
426,CD4 T 01,11
427,CD8 T 05,24
428,CD4 T 06,12
429,ILCs 16,39
430,TCRgd 02,55
431,CD4 T 18,20
432,CD8 T 06,25
433,CD4 T 01,11
434,CD4 T 01,11
435,CD8 T 05,24
436,B Cells 05,3
437,CD4 T 08,13
438,CD4 T 01,11
439,Myeloid 03,43
440,Others 11,53
441,CD4 T 06,12
442,TCRgd 02,55
443,Others 11,53
444,CD4 T 01,11
445,CD4 T 17,19
446,TCRgd 03,56
447,ILCs 19,41
448,CD4 T 01,11
449,CD8 T 10,28
450,B Cells 02,1
451,CD4 T 12,15
452,CD4 T 06,12
453,Myeloid 03,43
454,CD8 T 01,22
455,CD4 T 15,17
456,CD8 T 05,24
457,CD8 T 01,22
458,CD4 T 14,16
459,CD4 T 16,18
460,TCRgd 02,55
461,CD4 T 12,15
462,CD4 T 18,20
463,TCRgd 02,55
464,CD4 T 12,15
465,CD4 T 14,16
466,CD4 T 12,15
467,CD4 T 17,19
468,ILCs 09,36
469,CD8 T 01,22
470,CD4 T 01,11
471,CD8 T 10,28
472,CD4 T 01,11
473,CD8 T 07,26
474,CD8 T 04,23
475,CD4 T 06,12
476,CD4 T 16,18
477,CD4 T 06,12
478,CD4 T 01,11
479,CD4 T 01,11
480,CD4 T 01,11
481,CD4 T 06,12
482,TCRgd 02,55
483,ILCs 16,39
484,TCRgd 02,55
485,CD4 T 14,16
486,CD4 T 08,13
487,CD8 T 05,24
488,CD4 T 06,12
489,TCRgd 02,55
490,Myeloid 03,43
491,CD4 T 01,11
492,CD4 T 14,16
493,CD4 T 17,19
494,CD4 T 01,11
495,CD4 T 01,11
496,CD4 T 01,11
497,Myeloid 10,44
498,CD4 T 01,11
499,CD4 T 14,16
500,CD8 T 05,24
501,CD4 T 01,11
502,CD4 T 01,11
503,CD4 T 01,11
504,CD4 T 17,19
505,CD4 T 01,11
506,TCRgd 02,55
507,CD4 T 01,11
508,ILCs 04,35
509,ILCs 16,39
510,CD4 T 01,11
511,CD4 T 12,15
512,CD4 T 12,15
513,B Cells 05,3
514,CD4 T 18,20
515,CD4 T 16,18
516,TCRgd 03,56
517,CD4 T 14,16
518,CD4 T 14,16
519,CD4 T 12,15
520,CD4 T 17,19
521,ILCs 16,39
522,B Cells 05,3
523,B Cells 05,3
524,CD4 T 06,12
525,CD4 T 14,16
526,CD4 T 06,12
527,CD8 T 05,24
528,ILCs 16,39
529,CD4 T 12,15
530,CD4 T 01,11
531,B Cells 05,3
532,ILCs 04,35
533,ILCs 09,36
534,CD4 T 11,14
535,CD8 T 01,22
536,CD4 T 18,20
537,CD8 T 08,27
538,CD8 T 05,24
539,Others 11,53
540,CD8 T 01,22
541,CD4 T 16,18
542,CD8 T 05,24
543,CD4 T 01,11
544,CD4 T 01,11
545,Myeloid 03,43
546,CD4 T 17,19
547,CD4 T 06,12
548,CD4 T 15,17
549,CD8 T 08,27
550,CD4 T 17,19
551,CD4 T 18,20
552,CD4 T 14,16
553,Myeloid 03,43
554,CD4 T 01,11
555,CD4 T 12,15
556,CD4 T 01,11
557,CD4 T 01,11
558,CD4 T 18,20
559,TCRgd 02,55
560,CD4 T 01,11
561,ILCs 16,39
562,CD4 T 15,17
563,CD4 T 06,12
564,CD8 T 06,25
565,CD4 T 12,15
566,CD4 T 15,17
567,CD4 T 11,14
568,CD8 T 07,26
569,ILCs 16,39
570,CD4 T 17,19
571,CD4 T 17,19
572,CD4 T 12,15
573,CD4 T 01,11
574,CD4 T 14,16
575,CD8 T 01,22
576,TCRgd 02,55
577,CD4 T 12,15
578,CD4 T 01,11
579,CD4 T 01,11
580,CD8 T 05,24
581,CD4 T 06,12
582,CD8 T 05,24
583,B Cells 05,3
584,CD4 T 14,16
585,B Cells 19,8
586,ILCs 09,36
587,ILCs 16,39
588,ILCs 10,37
589,CD4 T 12,15
590,CD4 T 01,11
591,ILCs 16,39
592,CD8 T 05,24
593,CD4 T 01,11
594,CD4 T 01,11
595,B Cells 05,3
596,ILCs 16,39
597,CD8 T 04,23
598,CD4 T 18,20
599,ILCs 16,39
600,CD4 T 14,16
601,TCRgd 02,55
602,CD8 T 05,24
603,CD8 T 04,23
604,ILCs 16,39
605,CD8 T 01,22
606,ILCs 16,39
607,CD4 T 01,11
608,B Cells 05,3
609,B Cells 02,1
610,Myeloid 17,45
611,CD8 T 06,25
612,CD4 T 01,11
613,CD4 T 16,18
614,CD8 T 05,24
615,CD4 T 06,12
616,CD8 T 06,25
617,CD4 T 12,15
618,CD4 T 12,15
619,CD4 T 06,12
620,B Cells 05,3
621,CD8 T 06,25
622,CD4 T 12,15
623,CD4 T 01,11
624,ILCs 16,39
625,CD8 T 04,23
626,CD4 T 16,18
627,B Cells 05,3
628,TCRgd 02,55
629,CD4 T 12,15
630,CD4 T 14,16
631,Myeloid 20,47
632,CD4 T 01,11
633,CD4 T 06,12
634,CD4 T 12,15
635,CD8 T 06,25
636,CD4 T 06,12
637,ILCs 09,36
638,CD4 T 01,11
639,CD8 T 05,24
640,CD4 T 01,11
641,CD4 T 06,12
